trial,keyPressed,reactionTime,correctness
0,f,0.47460858399972494,False
1,j,0.3622729590006202,True
2,f,0.2777477090003231,True
3,f,0.28496541599997727,True
4,f,0.3853855420002219,True
5,j,0.32873450000079174,True
6,f,0.2517038340010913,True
7,j,0.2989357080004993,True
8,j,0.3741327919997275,False
9,j,0.29299708399958035,True
10,f,0.2441785829996661,False
11,j,0.3971919160012476,True
12,f,0.2762312499999098,True
13,f,0.31608487499943294,True
14,j,0.2649904579993745,False
15,f,0.32265083299898834,True
16,f,0.2744485840012203,True
17,f,0.28862437499992666,True
18,f,0.28391616600129055,True
19,j,0.4210817919993133,True
20,j,0.3304381250000006,True
21,f,0.35649350000130653,True
22,j,0.3608382910006185,True
23,j,0.3937091249990772,True
24,f,0.35698958300054073,True
25,f,0.25986495899996953,True
26,f,0.3045637080012966,True
27,j,0.3291984160005086,True
28,f,0.29562754100152233,True
29,j,0.338291375001063,True
30,f,0.33918412499951955,True
31,f,0.2424070409997512,False
32,f,0.3773788329999661,False
33,f,0.259663749999163,True
34,j,0.2900214590008545,False
35,f,0.33347487500032,True
36,f,0.297385416999532,True
37,f,0.3152540829996724,True
38,f,0.28018662499925995,True
39,f,0.32572766700104694,True
40,j,0.2683839169985731,True
41,f,0.28253295899958175,True
42,j,0.35828754199974355,True
43,f,0.23631454200040025,True
44,j,0.34766170799957763,True
45,j,0.35178966600142303,True
46,f,0.28449150000051304,True
47,j,0.4008103750002192,True
48,j,0.32105729099930613,True
49,f,0.3479807920011808,True
