trial,keyPressed,reactionTime,correctness
0,j,0.5123630999587476,True
1,f,0.3987138000084087,True
2,j,0.4046932999044657,True
3,j,0.4350789999589324,False
4,f,0.3901494999881834,True
5,j,0.3612303000409156,True
6,j,0.30671409994829446,True
7,j,0.3190625000279397,True
8,f,0.4182664999971166,True
9,j,0.29396239994093776,False
10,j,0.3065407000249252,True
11,f,0.30821360007394105,True
12,j,0.29554449999704957,False
13,f,0.31261149991769344,False
14,f,0.3835001999977976,True
15,j,0.3412627999205142,False
16,f,0.3687620999990031,False
17,j,0.45664729992859066,True
18,f,0.2985756000271067,True
19,j,0.30140430002938956,False
20,j,0.3952679999638349,True
21,f,0.29751070006750524,True
22,j,0.37629109993577003,True
23,f,0.35172479995526373,True
24,j,0.3116631000302732,True
25,f,0.4031127999769524,False
26,f,0.3997104000300169,True
27,f,0.327409700024873,False
28,j,0.3553896000375971,True
29,f,0.3327692000893876,False
